threshold,tp,fp,fn,tn,recall,precision,cost_fn,cost_fp,total_cost
0.01,60,48,15,56839,0.8,0.5555555555555556,164985.2835365854,43200,208185.2835365854
0.02,60,30,15,56857,0.8,0.6666666666666666,164985.2835365854,27000,191985.2835365854
0.03,59,27,16,56860,0.7866666666666666,0.686046511627907,175984.3024390244,24300,200284.3024390244
0.04,57,24,18,56863,0.76,0.7037037037037037,197982.34024390246,21600,219582.34024390246
0.05,57,20,18,56867,0.76,0.7402597402597403,197982.34024390246,18000,215982.34024390246
0.060000000000000005,57,18,18,56869,0.76,0.76,197982.34024390246,16200,214182.34024390246
0.06999999999999999,57,17,18,56870,0.76,0.7702702702702703,197982.34024390246,15300,213282.34024390246
0.08,57,17,18,56870,0.76,0.7702702702702703,197982.34024390246,15300,213282.34024390246
0.09,57,16,18,56871,0.76,0.7808219178082192,197982.34024390246,14400,212382.34024390246
0.09999999999999999,57,14,18,56873,0.76,0.8028169014084507,197982.34024390246,12600,210582.34024390246
0.11,57,12,18,56875,0.76,0.8260869565217391,197982.34024390246,10800,208782.34024390246
0.12,57,11,18,56876,0.76,0.8382352941176471,197982.34024390246,9900,207882.34024390246
0.13,57,11,18,56876,0.76,0.8382352941176471,197982.34024390246,9900,207882.34024390246
0.14,57,10,18,56877,0.76,0.8507462686567164,197982.34024390246,9000,206982.34024390246
0.15000000000000002,57,10,18,56877,0.76,0.8507462686567164,197982.34024390246,9000,206982.34024390246
0.16,57,9,18,56878,0.76,0.8636363636363636,197982.34024390246,8100,206082.34024390246
0.17,57,9,18,56878,0.76,0.8636363636363636,197982.34024390246,8100,206082.34024390246
0.18000000000000002,57,7,18,56880,0.76,0.890625,197982.34024390246,6300,204282.34024390246
0.19,57,7,18,56880,0.76,0.890625,197982.34024390246,6300,204282.34024390246
0.2,57,7,18,56880,0.76,0.890625,197982.34024390246,6300,204282.34024390246
0.21000000000000002,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.22,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.23,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.24000000000000002,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.25,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.26,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.27,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.28,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.29000000000000004,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.3,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.31,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.32,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.33,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.34,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.35000000000000003,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.36000000000000004,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.37,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.38,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.39,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.4,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.41000000000000003,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.42000000000000004,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.43,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.44,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.45,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.46,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.47000000000000003,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.48000000000000004,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.49,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.5,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.51,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.52,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.53,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.54,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.55,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.56,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.5700000000000001,57,6,18,56881,0.76,0.9047619047619048,197982.34024390246,5400,203382.34024390246
0.5800000000000001,57,5,18,56882,0.76,0.9193548387096774,197982.34024390246,4500,202482.34024390246
0.59,57,5,18,56882,0.76,0.9193548387096774,197982.34024390246,4500,202482.34024390246
0.6,57,5,18,56882,0.76,0.9193548387096774,197982.34024390246,4500,202482.34024390246
0.61,57,5,18,56882,0.76,0.9193548387096774,197982.34024390246,4500,202482.34024390246
0.62,57,5,18,56882,0.76,0.9193548387096774,197982.34024390246,4500,202482.34024390246
0.63,57,5,18,56882,0.76,0.9193548387096774,197982.34024390246,4500,202482.34024390246
0.64,57,5,18,56882,0.76,0.9193548387096774,197982.34024390246,4500,202482.34024390246
0.65,57,5,18,56882,0.76,0.9193548387096774,197982.34024390246,4500,202482.34024390246
0.66,57,5,18,56882,0.76,0.9193548387096774,197982.34024390246,4500,202482.34024390246
0.67,57,5,18,56882,0.76,0.9193548387096774,197982.34024390246,4500,202482.34024390246
0.68,57,5,18,56882,0.76,0.9193548387096774,197982.34024390246,4500,202482.34024390246
0.6900000000000001,57,4,18,56883,0.76,0.9344262295081968,197982.34024390246,3600,201582.34024390246
0.7000000000000001,57,4,18,56883,0.76,0.9344262295081968,197982.34024390246,3600,201582.34024390246
0.7100000000000001,57,4,18,56883,0.76,0.9344262295081968,197982.34024390246,3600,201582.34024390246
0.72,57,4,18,56883,0.76,0.9344262295081968,197982.34024390246,3600,201582.34024390246
0.73,57,4,18,56883,0.76,0.9344262295081968,197982.34024390246,3600,201582.34024390246
0.74,57,4,18,56883,0.76,0.9344262295081968,197982.34024390246,3600,201582.34024390246
0.75,57,4,18,56883,0.76,0.9344262295081968,197982.34024390246,3600,201582.34024390246
0.76,57,4,18,56883,0.76,0.9344262295081968,197982.34024390246,3600,201582.34024390246
0.77,57,4,18,56883,0.76,0.9344262295081968,197982.34024390246,3600,201582.34024390246
0.78,56,4,19,56883,0.7466666666666667,0.9333333333333333,208981.35914634148,3600,212581.35914634148
0.79,56,4,19,56883,0.7466666666666667,0.9333333333333333,208981.35914634148,3600,212581.35914634148
0.8,56,4,19,56883,0.7466666666666667,0.9333333333333333,208981.35914634148,3600,212581.35914634148
0.81,56,4,19,56883,0.7466666666666667,0.9333333333333333,208981.35914634148,3600,212581.35914634148
0.8200000000000001,56,4,19,56883,0.7466666666666667,0.9333333333333333,208981.35914634148,3600,212581.35914634148
0.8300000000000001,56,4,19,56883,0.7466666666666667,0.9333333333333333,208981.35914634148,3600,212581.35914634148
0.8400000000000001,56,4,19,56883,0.7466666666666667,0.9333333333333333,208981.35914634148,3600,212581.35914634148
0.85,56,4,19,56883,0.7466666666666667,0.9333333333333333,208981.35914634148,3600,212581.35914634148
0.86,56,4,19,56883,0.7466666666666667,0.9333333333333333,208981.35914634148,3600,212581.35914634148
0.87,56,4,19,56883,0.7466666666666667,0.9333333333333333,208981.35914634148,3600,212581.35914634148
0.88,56,4,19,56883,0.7466666666666667,0.9333333333333333,208981.35914634148,3600,212581.35914634148
0.89,56,4,19,56883,0.7466666666666667,0.9333333333333333,208981.35914634148,3600,212581.35914634148
0.9,56,4,19,56883,0.7466666666666667,0.9333333333333333,208981.35914634148,3600,212581.35914634148
0.91,56,4,19,56883,0.7466666666666667,0.9333333333333333,208981.35914634148,3600,212581.35914634148
0.92,56,4,19,56883,0.7466666666666667,0.9333333333333333,208981.35914634148,3600,212581.35914634148
0.93,56,4,19,56883,0.7466666666666667,0.9333333333333333,208981.35914634148,3600,212581.35914634148
0.9400000000000001,56,4,19,56883,0.7466666666666667,0.9333333333333333,208981.35914634148,3600,212581.35914634148
0.9500000000000001,55,4,20,56883,0.7333333333333333,0.9322033898305084,219980.37804878052,3600,223580.37804878052
0.9600000000000001,54,4,21,56883,0.72,0.9310344827586207,230979.39695121953,3600,234579.39695121953
0.97,53,4,22,56883,0.7066666666666667,0.9298245614035088,241978.41585365857,3600,245578.41585365857
0.98,52,3,23,56884,0.6933333333333334,0.9454545454545454,252977.4347560976,2700,255677.4347560976
0.99,52,2,23,56885,0.6933333333333334,0.9629629629629629,252977.4347560976,1800,254777.4347560976
